safe_instance_id,past_tense_verb_rate,sentiment_pos,sentiment_neg,sentiment_neu,sentiment_compound,pov_first_rate,pov_second_rate,pov_third_rate,pov_dominant,concreteness_mean,concreteness_coverage,temporal_mention_rate,temporal_mention_count
inst_b56563301921347c_88,0.046875,0.0,0.0,1.0,0.0,0.0625,0.0,0.015625,first,2.7779,0.8636,0.03125,2
inst_e6377482b92742aa_89,0.041667,0.058,0.179,0.763,-0.7184,0.041667,0.0,0.0,first,2.7709,1.0,0.020833,1
inst_e9e9fc4cc3220e9e_90,0.0,0.167,0.032,0.802,0.935,0.055556,0.007937,0.0,first,3.1276,1.0,0.007937,1
inst_e584153c89d0d07f_91,0.026316,0.166,0.037,0.798,0.6369,0.078947,0.0,0.078947,first,2.2117,0.8,0.0,0
inst_11800aedbe30cc11_92,0.046154,0.0,0.07,0.93,-0.5994,0.0,0.0,0.046154,third,3.3792,0.9231,0.015385,1
inst_15fc8e9542aded94_93,0.037037,0.109,0.148,0.743,-0.2406,0.037037,0.018519,0.0,first,3.0619,0.7619,0.0,0
inst_5853aeb84e876e8f_94,0.066667,0.099,0.089,0.811,0.1779,0.005556,0.011111,0.022222,third,2.8657,1.0,0.011111,2
inst_caa188d0efe5f333_95,0.031056,0.058,0.032,0.91,0.5574,0.006211,0.0,0.037267,third,3.2811,0.942,0.012422,2
inst_01bd4f2a750d51c8_96,0.048387,0.163,0.029,0.808,0.831,0.032258,0.0,0.048387,third,3.0804,0.9583,0.0,0
inst_dd9ac0539715cdf7_97,0.0875,0.169,0.067,0.764,0.8555,0.0375,0.0,0.075,third,2.963,0.9677,0.0125,1
inst_d7ead80481d164f8_98,0.015504,0.089,0.0,0.911,0.8442,0.0,0.0,0.007752,third,3.0704,0.8846,0.0,0
inst_01e7a3a4bf892ebe_99,0.033333,0.151,0.036,0.813,0.9132,0.0,0.0,0.025,third,2.9492,1.0,0.016667,2
inst_f92843cbf2890959_100,0.021978,0.022,0.228,0.749,-0.9587,0.076923,0.0,0.032967,first,3.0281,1.0,0.021978,2
inst_bbcfad3a302a6a47_101,0.045455,0.0,0.0,1.0,0.0,0.0,0.0,0.045455,third,3.2875,0.8889,0.045455,2
inst_355d936515c3e52e_102,0.0,0.134,0.0,0.866,0.7227,0.0,0.042553,0.042553,second,3.68,0.8636,0.0,0
inst_70bab2c7b0251233_103,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,none,4.1996,0.963,0.0,0
inst_528bf216d87bb023_104,0.071429,0.021,0.08,0.898,-0.4588,0.089286,0.0,0.089286,first,3.69,1.0,0.0,0
inst_293bc38a8ab2a9fd_105,0.0625,0.229,0.0,0.771,0.7644,0.041667,0.0,0.0625,third,2.8191,0.9583,0.0,0
inst_df42deeb56609158_106,0.0,0.038,0.106,0.856,-0.6597,0.065934,0.010989,0.010989,first,2.7268,0.7586,0.0,0
inst_042b52c8a343b0f5_107,0.043478,0.066,0.0,0.934,0.594,0.043478,0.043478,0.014493,first,3.7011,0.9474,0.0,0
inst_d1326caf2899bdfb_108,0.0,0.0,0.118,0.882,-0.5267,0.0,0.0,0.0,none,4.0364,1.0,0.020833,1
inst_ba06222bb9fc7059_109,0.071429,0.034,0.032,0.934,0.0387,0.014286,0.0,0.071429,third,3.519,0.9355,0.057143,4
inst_78b276fc3e3e0e29_110,0.043478,0.0,0.092,0.908,-0.7003,0.0,0.014493,0.043478,third,2.5471,0.9333,0.0,0
inst_9e0effcb64e2c290_111,0.0,0.141,0.045,0.814,0.7767,0.0,0.079365,0.0,second,3.0654,0.8966,0.0,0
inst_0ab5e1484fdc9cd1_112,0.010638,0.037,0.015,0.948,0.4019,0.0,0.0,0.021277,third,3.5151,1.0,0.021277,2
inst_6f43cfb19249ec82_113,0.046154,0.0,0.057,0.943,-0.4753,0.0,0.0,0.092308,third,3.8161,0.9583,0.015385,1
inst_5c8e9854b68010df_114,0.0,0.065,0.0,0.935,0.4215,0.0,0.0,0.0,none,3.1773,0.8333,0.0,0
inst_2ed57bdd5c45a6c2_115,0.027778,0.232,0.151,0.616,0.7947,0.055556,0.013889,0.0,first,3.0594,1.0,0.013889,1
inst_7c2766b3267cf82c_116,0.015873,0.056,0.156,0.788,-0.6908,0.015873,0.0,0.0,first,3.3307,1.0,0.0,0
inst_450e29d735279ba8_117,0.083333,0.084,0.132,0.784,-0.5106,0.097222,0.0,0.083333,first,2.9072,0.8929,0.0,0
inst_77d9ed8890360906_118,0.047619,0.047,0.029,0.924,0.2263,0.063492,0.0,0.047619,first,2.6858,0.96,0.0,0
inst_beb14bdf3dd60fd4_119,0.09375,0.086,0.093,0.821,0.1724,0.125,0.0,0.078125,first,3.1963,0.95,0.0,0
inst_b38ba3060fd1b1d3_120,0.0,0.19,0.0,0.81,0.9349,0.02439,0.012195,0.0,first,3.4641,1.0,0.0,0
inst_519b7f1cdf0c6336_121,0.035714,0.036,0.0,0.964,0.4939,0.0,0.0,0.017857,third,3.0531,0.9412,0.026786,3
inst_230653008b8e2d02_122,0.0,0.129,0.0,0.871,0.7783,0.018868,0.056604,0.018868,second,3.1311,1.0,0.018868,1
inst_27144bea99a845ae_123,0.05,0.05,0.158,0.791,-0.7906,0.05,0.0,0.0,first,2.8608,0.9615,0.0,0
inst_8655b2f8748cc2d1_124,0.051724,0.0,0.0,1.0,0.0,0.0,0.0,0.017241,third,3.4562,0.9286,0.051724,3
inst_024b845f67b0980c_125,0.03,0.226,0.0,0.774,0.9677,0.0,0.0,0.01,third,2.9067,0.9767,0.02,2
inst_1741db402e03050a_126,0.037037,0.119,0.0,0.881,0.6908,0.037037,0.0,0.037037,first,2.7285,1.0,0.0,0
inst_3a21b0c4d6d46e87_127,0.063492,0.036,0.0,0.964,0.2144,0.047619,0.015873,0.063492,third,2.9296,1.0,0.0,0
inst_6ba8bdea60b7b2e5_128,0.06,0.0,0.053,0.947,-0.296,0.02,0.0,0.02,first,3.0218,0.9444,0.0,0
inst_a6afd658ff8e150b_129,0.034188,0.084,0.024,0.891,0.6369,0.0,0.0,0.017094,third,2.9143,0.931,0.008547,1
inst_6700590df6d947d2_130,0.106667,0.062,0.157,0.781,-0.7227,0.0,0.0,0.066667,third,2.873,1.0,0.04,3
inst_54f6df0e9fa479cf_131,0.086957,0.081,0.184,0.735,-0.4939,0.0,0.0,0.043478,third,2.4595,0.95,0.0,0
inst_0365023d18a8a792_132,0.082353,0.11,0.058,0.833,0.6728,0.0,0.0,0.011765,third,3.2446,1.0,0.0,0
inst_fc6f7c91d784380b_133,0.148936,0.138,0.204,0.658,-0.4767,0.021277,0.0,0.06383,third,2.9735,0.9444,0.0,0
inst_390b88d1a32ccbaa_134,0.009009,0.053,0.014,0.933,0.5859,0.0,0.0,0.081081,third,3.47,0.9535,0.009009,1
inst_b6c41a10e96567ad_135,0.070796,0.106,0.039,0.855,0.7783,0.017699,0.017699,0.061947,third,2.9294,1.0,0.0,0
inst_9daa786825bcc033_136,0.04902,0.117,0.0,0.883,0.8591,0.029412,0.0,0.029412,first,3.0287,0.9091,0.009804,1
inst_1e6fc298655f7059_137,0.055556,0.159,0.054,0.787,0.8971,0.0,0.0,0.009259,third,2.568,1.0,0.009259,1
inst_e24604ba4a1f12be_138,0.087719,0.0,0.148,0.852,-0.8316,0.0,0.0,0.052632,third,3.7667,1.0,0.0,0
inst_10409fb86c6f21d4_139,0.025,0.198,0.0,0.802,0.8349,0.075,0.0,0.025,first,2.7019,1.0,0.0,0
